comuna,geometry
MOSTAZAL,"POLYGON ((-70.5123423242714 -34.0420719047254, -70.6053736658551 -34.0368074501064, -70.730611070252 -34.0276883407306, -70.7338712402854 -34.0268863011494, -70.7768303393021 -34.0051676447093, -70.7905726268893 -33.9979334446372, -70.794337782664 -33.9959394252873, -70.8221769103506 -33.9615229797895, -70.8242789605354 -33.9586310335678, -70.8260379867352 -33.9546309521752, -70.8249118931395 -33.9530819849443, -70.8232307983757 -33.9511130067729, -70.7969243158526 -33.9305605150504, -70.7099804735479 -33.905098996069, -70.4944233139631 -33.8588906830876, -70.4409281348109 -33.8519505778461, -70.4374570304872 -33.8520646100714, -70.4288007285926 -33.8548687784101, -70.3806205449824 -33.8790874884957, -70.3744074118714 -33.8840795632171, -70.3722164291138 -33.8879976390827, -70.3706044823809 -33.8929375666199, -70.3689447203853 -33.9036815893972, -70.3689837910576 -33.9061055702428, -70.3990549870422 -33.9954909113271, -70.3994530873797 -33.9964209086707, -70.406936564025 -34.0075197923558, -70.4130128897072 -34.0139456100237, -70.5072210845206 -34.0413040149222, -70.5099262005325 -34.0418249389233, -70.5123423242714 -34.0420719047254))"
MULCHEN,"POLYGON ((-71.700394149946 -38.1884681715576, -71.701636226657 -38.1884401174795, -71.7076474709266 -38.1875560718406, -72.1029107627199 -37.9983552410288, -72.1125619532693 -37.9934290574794, -72.3855149434559 -37.8486681410683, -72.4009952361401 -37.8391468754258, -72.4015242357023 -37.8386939107062, -72.4026592169275 -37.8376169380179, -72.403416263707 -37.8368789053143, -72.4313183912715 -37.8065646318453, -72.4781473837807 -37.7465372205943, -72.4788763232006 -37.7451182003835, -72.5224221826752 -37.579221669886, -72.4828010859238 -37.5586065535133, -72.4807290059039 -37.5575795861181, -72.4779898194062 -37.5568336334104, -72.4623872042785 -37.5550249104948, -72.4420094914444 -37.5562413145913, -72.3534476429924 -37.570013841136, -72.3514644922101 -37.5704338434494, -72.2350533918009 -37.610897646294, -72.2315872254352 -37.6121877611995, -72.0076812300053 -37.7261589661243, -72.0044641254325 -37.7278370356343, -71.642339262011 -37.95912199051, -71.640722302693 -37.9609479966705, -71.6390313249091 -37.9638589814342, -71.6372074183824 -37.9685160162691, -71.6129314769925 -38.1050294054155, -71.6135735057203 -38.1078963714382, -71.6153177217915 -38.1121382935197, -71.6223033656099 -38.1240250779958, -71.6240105000262 -38.1264670510963, -71.6266346511401 -38.1288490136868, -71.6860805035846 -38.1813954392761, -71.6972311270995 -38.1877011660781, -71.6991461101678 -38.1883372307212, -71.700394149946 -38.1884681715576))"
NACIMIENTO,"POLYGON ((-73.0174889304257 -37.6289440983123, -73.0186619050999 -37.6287311532324, -73.0540810100754 -37.6219505299586, -73.0608972341563 -37.6188273780732, -73.0612931520719 -37.6162004520863, -73.0637777139438 -37.5991985440335, -73.0231662959444 -37.4987819707527, -72.9650004088271 -37.4019548175916, -72.9431727123488 -37.3707234139932, -72.924566478131 -37.3540709187522, -72.9238514276404 -37.3536519253604, -72.9216953537322 -37.3527429661506, -72.7271178593949 -37.2711521581875, -72.72585579975 -37.2723021041817, -72.5935767830663 -37.5100788081982, -72.5935538040376 -37.5107708733311, -72.5937868378247 -37.5114058400077, -72.6336129133384 -37.601779430879, -72.6341879204871 -37.6026633998401, -72.6552173962115 -37.6246768667154, -72.6567165090737 -37.6257518491191, -72.6580795594901 -37.6264747477915, -72.6594486033522 -37.6270237540987, -72.6608907163973 -37.6275747187816, -72.6623337410652 -37.6280676863342, -72.6641927897703 -37.6284336622013, -73.0174889304257 -37.6289440983123))"
NANCAGUA,"POLYGON ((-71.1554766037764 -34.7552170650494, -71.1865247131132 -34.7534845721534, -71.317319125205 -34.6566037224036, -71.304289320288 -34.6430570159896, -71.2868264546187 -34.6314593093277, -71.2126807170239 -34.5922417111712, -71.1947479761753 -34.5874810062472, -71.1751322043118 -34.5862553924108, -71.1715920033111 -34.5861124530089, -71.1688499251833 -34.5860924434712, -71.1663068218746 -34.5868925065436, -71.1594076974304 -34.5891135964228, -71.1099515277011 -34.696479070224, -71.1093954845091 -34.6979850452561, -71.1085526059897 -34.7057650377603, -71.1091277295678 -34.7079410285755, -71.1106127981693 -34.7108490114238, -71.1359656119737 -34.7421015319377, -71.1498623309484 -34.7536482110527, -71.1519675254779 -34.7545891991372, -71.1554766037764 -34.7552170650494))"
NATALES,"POLYGON ((-69.392626669016 -54.6915427747755, -69.3958702122497 -54.6905818817221, -75.1042360751372 -52.4026003553398, -75.104442139849 -52.4020539849603, -75.1933572522461 -52.098925566968, -75.7952960993798 -49.4884928587675, -75.7953350464709 -49.4878872438306, -75.7024191662009 -48.8094831545043, -75.6981371416432 -48.8053842240024, -75.0083445020016 -48.5956959310523, -75.006378342228 -48.5954297668129, -74.9607017424639 -48.5970824027697, -74.1495533214804 -48.6997253724226, -74.0927125211436 -48.7086893129153, -74.0915425495116 -48.7089796541097, -74.0792820731865 -48.7121548309596, -73.9869512482842 -48.737169084191, -73.5825871487487 -49.0151230290374, -73.2094422265979 -49.2754656556973, -73.1569164373132 -49.3126131969021, -70.002775005255 -52.835052199202, -69.392626669016 -54.6915427747755))"
NAVIDAD,"POLYGON ((-71.847239264874 -34.1117735307449, -71.8844824665239 -34.1029379285981, -71.9230394904132 -34.0889063155383, -71.9425296762013 -34.0680550890996, -71.9406130770148 -34.0444441538915, -71.9343755913887 -34.0354262785812, -71.8842660767309 -33.965391373022, -71.8436092855507 -33.9086422090019, -71.8290223955249 -33.8931314526832, -71.7507382026849 -33.9209897298646, -71.7497161742878 -33.921490736206, -71.712583445861 -33.9491652538777, -71.7108604625287 -33.9507313065742, -71.6913885346302 -33.9833095251836, -71.6913105038705 -33.9841705614054, -71.6924917396164 -33.9917124847925, -71.6929888175411 -33.9941564228255, -71.7722276979018 -34.0749408627593, -71.784305297686 -34.0839306955652, -71.7882895668079 -34.0864176211307, -71.7971299498161 -34.0904334744989, -71.847239264874 -34.1117735307449))"
NEGRETE,"POLYGON ((-72.5951254634983 -37.6704076723202, -72.5964775532038 -37.6702645957079, -72.648440272346 -37.6637696761167, -72.6490383020369 -37.6633166751623, -72.6496743394764 -37.6627956397565, -72.653064468111 -37.6281738726352, -72.6535312588452 -37.6204379327998, -72.6525557134625 -37.5340285502216, -72.6171439461596 -37.5205143491964, -72.6142748406845 -37.5196094179344, -72.6082446005354 -37.5191115101423, -72.6005102699175 -37.5195326863819, -72.4849727926081 -37.5786353583043, -72.4833137847611 -37.5798763880833, -72.4828637778591 -37.5802733774266, -72.4813107724651 -37.5830833509683, -72.4806038095072 -37.584577400766, -72.4801887348993 -37.5860773426008, -72.4798468378394 -37.58757836551, -72.4780921449182 -37.6001432946162, -72.4773399193868 -37.6294380988619, -72.4864691261218 -37.6581096729863, -72.5381081780433 -37.6642457223884, -72.5951254634983 -37.6704076723202))"
NINHUE,"POLYGON ((-72.3919574539118 -36.4840064026245, -72.4004977671089 -36.482684235431, -72.4701779691533 -36.4702080240324, -72.4716450558718 -36.469764991687, -72.4724760148479 -36.4693619905939, -72.4934694482863 -36.4565407180979, -72.5347513034298 -36.4311631208026, -72.53545029789 -36.430731088773, -72.5518834837112 -36.4161688753429, -72.5410668704124 -36.3719364073361, -72.5408478616162 -36.3711783833784, -72.5407228077717 -36.3709344127361, -72.455854036881 -36.2340076845662, -72.4331069288314 -36.2259442042839, -72.4165022333068 -36.2209155075289, -72.3134266579849 -36.2315192462711, -72.2774111875137 -36.2603977340647, -72.2978251634951 -36.3790636916842, -72.3006624666517 -36.3868185703764, -72.3645173091141 -36.4765229020271, -72.3649622341271 -36.4771438875879, -72.3651182863084 -36.477289864195, -72.3905163818991 -36.4837584305374, -72.3919574539118 -36.4840064026245))"
NIQUEN,"POLYGON ((-71.6925914068949 -36.4420390895942, -71.8220415877255 -36.4168919015378, -71.8342579394522 -36.4136437288002, -71.8489113316841 -36.4077884697173, -72.1091955905213 -36.2833296036632, -72.13266502801 -36.2686062720219, -72.1334730427748 -36.267740271515, -72.1342380828569 -36.2666882097172, -72.1345400233225 -36.2660942818474, -72.1413695025486 -36.2383642210349, -72.1414496088697 -36.2379032603357, -72.1305078383859 -36.1892647480419, -72.1023831262285 -36.126864583239, -72.0766061783972 -36.1291620040468, -72.0759911928916 -36.1292609952201, -72.0746721331242 -36.1295960659072, -72.0740710931687 -36.1298080489029, -71.8109447606061 -36.2539919958076, -71.8106757871551 -36.254180019333, -71.6431036939082 -36.3717163081433, -71.6416306817994 -36.3736254010866, -71.6308588117871 -36.3948864054447, -71.6925914068949 -36.4420390895942))"
NOGALES,"POLYGON ((-71.2422156710349 -32.8070982567141, -71.2442127122818 -32.8067792171355, -71.2490529337624 -32.8056141774854, -71.2963031859279 -32.7845584314155, -71.3146888767962 -32.7449551532466, -71.3161224144901 -32.6735132456558, -71.2786631338438 -32.6361838561329, -71.2772880355881 -32.6350598392695, -71.2758480431469 -32.6340438588147, -71.2371439529845 -32.6070535392783, -71.2338737974778 -32.6048136104868, -71.2297396989718 -32.6036847060664, -71.1649800093137 -32.5898156827819, -71.1600977928258 -32.589068809512, -71.0746267552256 -32.5943022072415, -71.0682225143628 -32.5947952531726, -71.058125261439 -32.5978933887216, -71.0565872707322 -32.6000794240789, -71.0444814642971 -32.6312205895625, -71.0352639638429 -32.6697467475847, -71.035230086725 -32.6743746850777, -71.044612736632 -32.7294255455078, -71.0458467895091 -32.7317195243022, -71.0478379244636 -32.7336714952021, -71.0516681330897 -32.735454357742, -71.0870246898938 -32.7517468377737, -71.2422156710349 -32.8070982567141))"
NUEVA IMPERIAL,"POLYGON ((-73.0393043571936 -38.9121578921971, -73.0998102470435 -38.89993483784, -73.1027240190103 -38.8905299177767, -73.1029700687972 -38.8891519059628, -73.1063652999267 -38.861248088228, -73.1288213498199 -38.5777621845539, -73.1288982530465 -38.5747932734072, -73.1281669856605 -38.5666553393631, -73.1016916142814 -38.518855296016, -73.0602776970455 -38.4757324301347, -72.9869574076629 -38.4575019151652, -72.9842313812578 -38.4568370276327, -72.9813282386365 -38.4570680837503, -72.8765441582883 -38.4853017992212, -72.8123686922045 -38.5133417574318, -72.8110936475909 -38.5146258104131, -72.7614931814807 -38.591614041173, -72.760477861326 -38.647164576688, -72.7606580397808 -38.6519275570838, -72.8036756426498 -38.8502110035179, -72.8064370824854 -38.8593218170077, -72.8188257109928 -38.8986472893783, -72.8217750029714 -38.9032601425258, -72.8251882306858 -38.9069930206597, -72.8273174467088 -38.9088930104814, -72.8291935086817 -38.9098589426665, -72.8527103797507 -38.9103714899729, -73.0393043571936 -38.9121578921971))"
NUNOA,"POLYGON ((-70.6238431906316 -33.4776172474619, -70.6268301551964 -33.4715092407453, -70.6268851775205 -33.4713552116444, -70.6269102028857 -33.471272266846, -70.6323530018133 -33.4525392206841, -70.5830887118844 -33.4364500226888, -70.5760565444998 -33.4397091045558, -70.5743315684777 -33.4405661201135, -70.5741485655739 -33.4409931314799, -70.5739475841944 -33.4418731598403, -70.571570770346 -33.4555421711238, -70.5716148165012 -33.4561881481099, -70.571973868596 -33.4576921850591, -70.5727700066437 -33.4606511131964, -70.5733570621767 -33.4623430742516, -70.5770223134773 -33.4715020704991, -70.5773623548408 -33.4721910812657, -70.5839507567745 -33.4756109344772, -70.5840907560214 -33.4756819336387, -70.5843837516493 -33.4758278911819, -70.5844167241872 -33.4758418881035, -70.5846726843137 -33.4759399008816, -70.5850647770807 -33.4760669072543, -70.5852988042382 -33.4761179279074, -70.5853487653146 -33.4761258606597, -70.5857768383941 -33.4761899092473, -70.5896199626031 -33.476750855961, -70.5897459524614 -33.4767668326215, -70.5899099954025 -33.4767807778882, -70.5899349874602 -33.4767818198948, -70.6238431906316 -33.4776172474619))"
O'HIGGINS,"POLYGON ((-73.154949768923 -49.3139869283181, -73.1754004679704 -49.2998850795041, -73.2969515132867 -49.2160623446724, -73.380935490833 -49.1576166981696, -73.5744254636353 -49.0221348396737, -73.609781661533 -48.9970446312614, -73.0612381965998 -47.8663319036386, -73.0595240739585 -47.8633619476099, -72.9500818683621 -47.7467747474808, -72.926986294045 -47.733127544419, -72.9242560455782 -47.7323686495418, -72.920151856444 -47.7314757083384, -72.917309701187 -47.7313697907584, -72.912472621769 -47.7315549236572, -72.5052923168192 -47.760697347291, -72.5025143362083 -47.7630094127547, -72.466804204243 -47.8104092247965, -72.3068436639081 -48.1376683252599, -72.2247463781418 -48.3200794032841, -72.2242254026433 -48.3212824213752, -72.2247665370683 -48.322511406563, -72.5343936514802 -48.7967716713661, -72.5452906826362 -48.8078452174938, -73.0834913304285 -49.2735218153479, -73.1298525387626 -49.3095493082699, -73.132720677414 -49.3112299103535, -73.1403108010727 -49.3122952432053, -73.154949768923 -49.3139869283181))"
OLIVAR,"POLYGON ((-70.8815508567518 -34.2424383168794, -70.8857029932996 -34.2419142024156, -70.8880630913317 -34.241571220921, -70.8937963492886 -34.240252068314, -70.8958263309793 -34.2392370688543, -70.8982403826411 -34.2377860635954, -70.8994704189709 -34.2362910600375, -70.9010023797581 -34.2342390033987, -70.9017603299934 -34.229307994639, -70.902406118745 -34.2209570383414, -70.8418502418049 -34.1937850568024, -70.8399811836286 -34.1929681389063, -70.8373500159641 -34.1923741484657, -70.8346809819761 -34.1921332243483, -70.7754996573183 -34.1892742162091, -70.7691124651967 -34.1892963522848, -70.7678484024206 -34.1893143960602, -70.7666763759451 -34.1894013341275, -70.7644772593557 -34.1899963730933, -70.7588351082595 -34.1922234578888, -70.7336185519904 -34.2076058811094, -70.73234455134 -34.2089558735047, -70.7544684633567 -34.2140884728618, -70.8815508567518 -34.2424383168794))"
OLLAGUE,"POLYGON ((-68.070783073503 -21.979876740446, -68.3462043652654 -21.8830152337357, -68.5252454020219 -21.5447239340826, -68.5374187695839 -21.0645789246649, -68.4830694169898 -20.9401597554748, -68.4820653469442 -20.9396407857408, -68.4800142675288 -20.939319837707, -68.4114707414667 -20.9338954422502, -68.2950375258468 -21.0975008428429, -68.1799928300711 -21.3024937520493, -68.0611561912568 -21.7718621667432, -68.0596562429896 -21.7822413579209, -68.0594072446535 -21.7862814064124, -68.0627441599957 -21.8522831658268, -68.070783073503 -21.979876740446))"
OLMUE,"POLYGON ((-71.1362099545875 -33.1226275518891, -71.1529651604283 -33.1052682590635, -71.1755953659367 -33.0748130049536, -71.2226133449253 -32.9992492918079, -71.2200248296006 -32.9803324032676, -71.2176904608618 -32.9703404317086, -71.1206885299056 -32.9524090246224, -71.0264078689511 -32.9890715175813, -71.001705359195 -33.0474788344032, -71.0012513239597 -33.0491157747703, -71.0009483367041 -33.0509168605171, -71.0041236103888 -33.0566077544037, -71.0058586930412 -33.0594507388322, -71.0092080117051 -33.0641286670792, -71.0336005362275 -33.0946972316914, -71.0370077870697 -33.0975401367521, -71.1113518788091 -33.1168309467401, -71.1362099545875 -33.1226275518891))"
OSORNO,"POLYGON ((-72.8687551034532 -40.7869439177544, -72.8705011759263 -40.7866569101823, -72.9524226254319 -40.7687175016468, -72.9785534419784 -40.7627761075874, -73.400055936098 -40.6651688688121, -73.4164964806222 -40.6607625801747, -73.4186434387787 -40.6593655162708, -73.4164546600762 -40.6373768147166, -73.3329422586287 -40.4228749218205, -73.3212606912973 -40.4201991792074, -73.3195186483971 -40.4198252254798, -73.3025670500473 -40.420414496282, -73.3004229773056 -40.4205225938323, -73.0705166526535 -40.4609336162745, -73.0693386816028 -40.4612627117099, -72.8697986800261 -40.5384977169156, -72.7680306128506 -40.7371775275571, -72.7829774321959 -40.7744038269424, -72.8256094215883 -40.7848648826788, -72.8301945056933 -40.7855457668089, -72.8687551034532 -40.7869439177544))"
OVALLE,"POLYGON ((-71.6413455337129 -31.2166495267907, -71.6469156496538 -31.2144264586403, -71.6491897453641 -31.213485438247, -71.6536367376312 -31.2051513153192, -71.6605687070501 -31.1893222174364, -71.666374479734 -31.1701300957905, -71.7144218148042 -30.7158820511232, -71.7166335152516 -30.6008068810658, -71.681376140538 -30.3465670999208, -71.6808870650546 -30.3459070738859, -71.6707846425185 -30.3391982856261, -71.2349474299924 -30.3115627549415, -71.2208349323161 -30.3131819945156, -71.2170748765502 -30.3142400666519, -71.0693608780725 -30.384655396747, -70.8953260086537 -30.505614220145, -70.8570572170938 -30.5355578420333, -70.8552822791031 -30.537632849665, -70.8545272082097 -30.5393728646302, -70.8545302995749 -30.5416138724359, -70.8577055651288 -30.5476987792526, -70.8581805911657 -30.548471822107, -71.485400383114 -31.1900209567253, -71.4861924261213 -31.1904249521819, -71.6413455337129 -31.2166495267907))"
PADRE HURTADO,"POLYGON ((-70.8161262192887 -33.600286902115, -70.9348492888131 -33.5864430243732, -70.9476962707682 -33.5655108542406, -70.9479812794223 -33.5635398170864, -70.9474951104724 -33.5595118673211, -70.9211449694622 -33.509419334579, -70.9118966149818 -33.5090654877196, -70.9082315088312 -33.5091225480684, -70.8075132333597 -33.5277771687806, -70.8041600612507 -33.529171265161, -70.8030340499379 -33.5299412900281, -70.7793672159347 -33.5708715268972, -70.7850515625803 -33.5776334739167, -70.8086248932909 -33.5974300666465, -70.8161262192887 -33.600286902115))"
PADRE LAS CASAS,"POLYGON ((-72.5438916848117 -38.8741136246185, -72.545730732146 -38.8739455901178, -72.5490948911377 -38.8735255759697, -72.5682295070292 -38.8707731870355, -72.7810634887855 -38.8398505080011, -72.7866127144483 -38.8381983580256, -72.8111353507861 -38.8292529774379, -72.8169424273426 -38.8260839642079, -72.842877779751 -38.8060625958619, -72.8378612247951 -38.7953177770205, -72.8283613824128 -38.7765361486757, -72.5132117683979 -38.6848019315601, -72.5050894147217 -38.6846290335538, -72.4792985856083 -38.6876735159693, -72.446894774029 -38.7012410019054, -72.3863066380763 -38.7404358192789, -72.3839557384695 -38.7449978273538, -72.3834957573143 -38.7460207937858, -72.4388709143827 -38.8460409225144, -72.4481535595844 -38.8545656514234, -72.4489806083744 -38.8550996041111, -72.509000258019 -38.8716173782, -72.5104023667736 -38.8718533673928, -72.5438916848117 -38.8741136246185))"
PAIGUANO,"POLYGON ((-70.1955083358392 -30.4915286875714, -70.2378808444666 -30.4891400317424, -70.2444510959575 -30.488291954293, -70.3996489552013 -30.450950495296, -70.4772867506216 -30.3993912661054, -70.4830289473873 -30.3953951336103, -70.4869419854706 -30.3920490984778, -70.526312133773 -30.3292134232657, -70.5393360541138 -30.2986751082615, -70.5742705358485 -30.2086514408531, -70.5778583231522 -30.1938703336118, -70.5671088719798 -30.0341571444747, -70.5659585695402 -30.0217131748044, -70.5639043489284 -30.0167321532378, -70.5555429478848 -30.0114912992821, -70.4587995192263 -29.9636085436693, -70.4568484558799 -29.9632566781604, -70.44607904549 -29.9629547597772, -70.3503556244873 -29.9639701697117, -70.3482485194242 -29.9647871815396, -70.3457475062611 -29.9661682389401, -70.3406923987584 -29.9692593287838, -70.2918518452584 -30.0373242321829, -70.1483995884418 -30.340811059871, -70.117995176577 -30.4264916626227, -70.117342214661 -30.4291036935658, -70.1170942504325 -30.4313566518615, -70.1180683304049 -30.4328876737117, -70.1291710170503 -30.4489975262061, -70.1349823614753 -30.4574114642312, -70.1365004964915 -30.4587014597841, -70.1814726601277 -30.4841938638349, -70.1955083358392 -30.4915286875714))"
PAILLACO,"POLYGON ((-72.751892919218 -40.1999176637869, -72.8398612799456 -40.1997319892383, -72.9210375964435 -40.177530603071, -72.9859934471454 -40.1593876241774, -73.1552245201623 -40.0607963428344, -73.1569845610107 -40.0593683055188, -73.1584404675099 -40.0564803163251, -73.1729117811226 -40.0176654005576, -73.1728136600113 -40.0148844272716, -73.1718585115174 -40.0119574892672, -73.1579537819457 -40.0041929154705, -73.005843690943 -39.9316125520924, -72.9861136739346 -39.9250360282612, -72.9749082852169 -39.9238822443342, -72.9622177627447 -39.9237865106526, -72.9419801113521 -39.9249649135618, -72.6921279207418 -39.9947590548953, -72.6136266102496 -40.0432270120593, -72.6125665810716 -40.043999012934, -72.5527670596073 -40.0983236684702, -72.5494791417314 -40.10600266066, -72.5488792235014 -40.1087015997838, -72.5450049313778 -40.132664442445, -72.5413878269408 -40.1663801755473, -72.5526077968589 -40.1809427506535, -72.5793919559025 -40.1860571724286, -72.751892919218 -40.1999176637869))"
PAINE,"POLYGON ((-70.895741343165 -33.9881767118402, -70.8971963261532 -33.9880117158977, -70.9631793382873 -33.9684666357993, -70.965336463509 -33.9671506272244, -70.9660153772599 -33.9650046469221, -70.9897031996857 -33.83576952024, -70.9898622039157 -33.8347695796442, -70.985466308633 -33.8059376867622, -70.9837581843079 -33.8028327097315, -70.9828130656147 -33.8012817372363, -70.9803768922494 -33.7981877825807, -70.9106348437107 -33.7737280033797, -70.9096057505244 -33.7735210194672, -70.624300274784 -33.7350507968692, -70.6226481820772 -33.7350718035284, -70.6201761471047 -33.7353818383216, -70.6138999112187 -33.7373599754009, -70.4834962485081 -33.8312979019828, -70.4816302413221 -33.8342259451933, -70.4796592793 -33.8380449271568, -70.4742106475447 -33.8608719640352, -70.5099384911873 -33.8848563115537, -70.6439556067289 -33.9330540000455, -70.6489979330339 -33.9346959277295, -70.6566012141368 -33.9369438440994, -70.8935452190037 -33.9877827737184, -70.895741343165 -33.9881767118402))"
PALENA,"POLYGON ((-71.7363160039692 -44.0653248371992, -71.7813694487894 -44.0575790568195, -72.0724580859436 -43.9585184746052, -72.0993374907824 -43.9436141258587, -72.1022406520964 -43.9418841263167, -72.276879299783 -43.8367679890136, -72.2824293525562 -43.8315939585731, -72.3030290380835 -43.7776923608153, -72.3231535892448 -43.6941761802861, -72.3232294434336 -43.6924801972972, -72.3087530779992 -43.3876539280585, -72.1999208900988 -43.2354663368321, -72.1989038780006 -43.2354413111489, -72.1960608004855 -43.2365493542686, -72.1894536696593 -43.2408554746722, -71.5934742674292 -43.6354820996717, -71.5902622373939 -43.6385310848359, -71.5893943125748 -43.6396790662735, -71.5816224249538 -43.6507921556572, -71.5805374244374 -43.6527300903323, -71.580425481035 -43.654696097014, -71.580415576123 -43.656892989987, -71.580496735702 -43.6584860401799, -71.6481626478676 -43.9460014772043, -71.6589277538508 -43.9627089306674, -71.7216217167265 -44.0475034094147, -71.7224897135361 -44.0486713737496, -71.731094463096 -44.0599800232582, -71.7363160039692 -44.0653248371992))"
PALMILLA,"POLYGON ((-71.3665939234873 -34.6157499946198, -71.3909057810414 -34.6110316591986, -71.4158604591402 -34.6007002487291, -71.4799331799377 -34.5344283596029, -71.4709085138185 -34.5193355470531, -71.3908752448246 -34.4296862002782, -71.3716985795668 -34.4309055183115, -71.3688445353735 -34.4312415981332, -71.3654084367813 -34.4316536122277, -71.3418966533362 -34.4372620247622, -71.2639886342356 -34.4706312253758, -71.2593526234359 -34.4768322905792, -71.252347594993 -34.4874273874573, -71.2511705605407 -34.4896424124219, -71.251134636047 -34.4915624148088, -71.2643873385751 -34.5810569007289, -71.3241171836302 -34.6051707612417, -71.3288273694613 -34.6068356683108, -71.3627727926146 -34.6153290651441, -71.3665939234873 -34.6157499946198))"
PANGUIPULLI,"POLYGON ((-71.700756089695 -40.1177048531774, -71.8082191340851 -40.0812452196655, -71.8209483761637 -40.0761090287639, -72.5280398229228 -39.7504466922568, -72.5286178216312 -39.7499886716872, -72.6029437882725 -39.6614051231947, -72.6031458082879 -39.6609581505408, -72.6031906636669 -39.6603260867762, -72.6028217063445 -39.6595231349321, -72.5951540681753 -39.6474153834809, -72.5527425962668 -39.5893187922927, -72.5499453720442 -39.5858158708591, -72.4635077729657 -39.5438829232007, -72.3116033849246 -39.493810298623, -71.9390748363441 -39.4177421332559, -71.9343996043396 -39.4173182921045, -71.9308454774721 -39.4170013331912, -71.9261923933548 -39.4171183800467, -71.920265115792 -39.4179444956645, -71.9102927747178 -39.4200926591187, -71.9045786917109 -39.421590808687, -71.8979564631063 -39.4236538749009, -71.7129466262057 -39.4944117072156, -71.7101585090268 -39.4957967947301, -71.7067505015762 -39.4987658150951, -71.678963620548 -39.5656817261233, -71.5904137535789 -39.8964232135343, -71.5906057881087 -39.8979692366714, -71.5931033447549 -39.9108310069282, -71.5972041131341 -39.9303327378328, -71.6649959570336 -40.0922858639303, -71.6657180731015 -40.093703836058, -71.6738186807286 -40.1054475082049, -71.6753367871611 -40.1067674777218, -71.6764948689829 -40.1073474759506, -71.6785839834449 -40.1083193839352, -71.6963899792019 -40.1163650407076, -71.700756089695 -40.1177048531774))"
PANQUEHUE,"POLYGON ((-70.902194742942 -32.8328306544063, -70.9090640626502 -32.8325105767477, -70.9108381519347 -32.8324105459978, -70.914017188763 -32.8320374769716, -70.9363759745598 -32.8288451877915, -70.9447501838833 -32.8255119730308, -70.946272177335 -32.8242990410397, -70.9474392605746 -32.8227549572233, -70.9435396333805 -32.8032580789512, -70.8075973187248 -32.7442462816404, -70.7836862495801 -32.7338856914056, -70.7775639690202 -32.731324792485, -70.7680954991618 -32.7294749836094, -70.766900520962 -32.7295169958962, -70.7636844195259 -32.7304020548348, -70.7616073264797 -32.7310250639913, -70.7595833094157 -32.7316910523693, -70.7548621621436 -32.7335271270538, -70.7537971390359 -32.7341611938986, -70.7525320504713 -32.7352701834104, -70.7363899435675 -32.7528464552313, -70.7363588410058 -32.7529104630497, -70.7531427562921 -32.8072821031162, -70.7559209603862 -32.8129300269072, -70.7574950696394 -32.8153959845839, -70.7603552598779 -32.8196109952463, -70.7642744810452 -32.8226538770837, -70.7643315192781 -32.8226919370425, -70.7678056163862 -32.8245178491897, -70.7757419951285 -32.8274347409517, -70.7807372649422 -32.8290226068581, -70.7864374364055 -32.8305635707059, -70.790499686956 -32.8310104783998, -70.805201180912 -32.8317362384868, -70.902194742942 -32.8328306544063))"
PAPUDO,"POLYGON ((-71.3959295327298 -32.5530910638074, -71.4186504043339 -32.5520046551965, -71.422311530134 -32.5509566237137, -71.4273506740039 -32.548906538971, -71.4516052107611 -32.5375051993857, -71.4524272974444 -32.5365122131624, -71.4530842192754 -32.534825186205, -71.4585750284151 -32.5182520768091, -71.4643748324748 -32.4982000135906, -71.4264626155391 -32.4139167088096, -71.4236123434518 -32.409022734878, -71.4065056201473 -32.4011910409147, -71.371809225814 -32.3987065826021, -71.3258316075826 -32.4009813359685, -71.2849460399143 -32.4406409333224, -71.2837789586775 -32.4419549468435, -71.2977326611661 -32.4914886659743, -71.2980206156672 -32.4924606765465, -71.3002508905519 -32.497303627664, -71.380847948466 -32.548689294192, -71.385561153023 -32.5507762430956, -71.3882222242768 -32.5517492184118, -71.3959295327298 -32.5530910638074))"
PAREDONES,"POLYGON ((-71.8176942121458 -34.8394735792873, -71.8401899423694 -34.8352952215541, -71.9065768659885 -34.8163581340272, -71.9112540605777 -34.8149570177456, -71.9166671339552 -34.8123189756708, -71.9227213149156 -34.8091378247986, -71.9305944845158 -34.8036207665484, -72.0566910881151 -34.6852670846634, -72.0542217864922 -34.5585175440628, -72.0531185940907 -34.5490455701913, -72.039327907903 -34.5447158484769, -72.0374608017397 -34.5442868933155, -71.8587624262358 -34.5083611063812, -71.8330628983363 -34.565563258322, -71.8207912938687 -34.6000244285452, -71.7943891392408 -34.6747955236248, -71.7939582702338 -34.6762986010054, -71.782583048202 -34.765235385, -71.7823480360121 -34.7676403899433, -71.7829049525122 -34.8006213325645, -71.7831969618155 -34.8015092831915, -71.7989072514747 -34.8275098722026, -71.8164030719575 -34.8389415675615, -71.8176942121458 -34.8394735792873))"
