comuna,geometry
ARICA,"POLYGON ((-70.0221998704922 -18.9011473173788, -70.3506134991342 -18.8363462193813, -70.3509074777869 -18.8359532854374, -70.3614314646646 -18.7923244721677, -70.3773748128375 -18.3504227414422, -70.3704741004528 -18.3420934933396, -70.3641048444492 -18.3350285292508, -70.3565024390837 -18.3286844092636, -70.3484861658407 -18.3231104352689, -70.339921842216 -18.3183624508372, -69.7825788981052 -18.0458052512985, -69.7794617677355 -18.0461002730045, -69.777376646771 -18.0468282873494, -69.7744916266547 -18.0481363721106, -69.7719284996493 -18.0498033997274, -69.6724352034469 -18.1601320802495, -69.4889922620368 -18.6981073001317, -70.0221998704922 -18.9011473173788))"
BUIN,"POLYGON ((-70.7840155413048 -33.8351919646507, -70.8289431546623 -33.832244189019, -70.8860746971659 -33.8090752992775, -70.8946899846883 -33.8047472143631, -70.8957709802431 -33.8040401585819, -70.8921907391754 -33.8011182480772, -70.7118658961241 -33.667530498965, -70.710026799251 -33.6663785013585, -70.7074776999258 -33.6655095136129, -70.645156982279 -33.6483326059011, -70.6317254904206 -33.6457058532732, -70.6130496440896 -33.7281710032098, -70.6130187653278 -33.7312219875167, -70.6138999112187 -33.7373599754009, -70.689430907927 -33.7889106332148, -70.7840155413048 -33.8351919646507))"
BULNES,"POLYGON ((-72.2188506015192 -36.899446915363, -72.2338780896578 -36.8977596013099, -72.2350491272934 -36.8975846049964, -72.2758894115748 -36.8899679561999, -72.3744773832693 -36.866807250561, -72.3798495801844 -36.8655222212931, -72.4282485928429 -36.8004647389839, -72.4514286282698 -36.7012379757691, -72.451587661055 -36.6997489553219, -72.4516346194881 -36.6983409284049, -72.4504164831682 -36.6969879938902, -72.4423559117143 -36.6880951736916, -72.3242787215432 -36.6936513354938, -72.1352498348011 -36.7340294027376, -72.1310670069922 -36.7436454151846, -72.1093045908138 -36.7955515375577, -72.2133862540833 -36.8974249545658, -72.2142023403204 -36.8980800117373, -72.2154484247689 -36.898851973533, -72.2188506015192 -36.899446915363))"
CABILDO,"POLYGON ((-71.0444814642971 -32.6312205895625, -71.0485445957634 -32.6305545198832, -71.0554197460218 -32.6235094567218, -71.1281668710279 -32.5114063663425, -71.1386528034413 -32.4922562546797, -71.1401028396139 -32.488332197588, -71.1410358308329 -32.4857372268505, -71.1420307621523 -32.4810252009721, -71.1426915542472 -32.473808226309, -71.1420921849654 -32.4572921761405, -71.1417261490437 -32.4558441708171, -71.1369977174904 -32.4439592522514, -71.104906789828 -32.3659118567422, -71.0019371423426 -32.3256065623793, -70.8303576464145 -32.2676842958872, -70.4609567759077 -32.211013063391, -70.4556556153908 -32.210718190247, -70.4325400593635 -32.2265045253431, -70.4322890756523 -32.2271675670303, -70.4110796735722 -32.2884748913767, -70.41098071604 -32.2925068721738, -70.410920756093 -32.2955938924455, -70.4113628428591 -32.2972518354283, -70.4164771996992 -32.3067657862392, -70.432841447515 -32.3344674949723, -70.8201941759081 -32.6285712150607, -70.8213312036214 -32.6286451845878, -71.0444814642971 -32.6312205895625))"
CABO DE HORNOS,"POLYGON ((-67.2908367408053 -55.9779049739749, -67.2924200034786 -55.9777786400794, -69.3654919379126 -55.7338082891132, -72.2419079406576 -54.7566890139075, -72.2663501171539 -54.697878164712, -72.267713849735 -54.6924757054378, -72.2794893407913 -54.6395320066766, -72.2717102032309 -54.6245468493206, -72.2409909993922 -54.5729846687633, -72.1840705518482 -54.5030715693772, -72.1084523860549 -54.475390567969, -72.0042287617946 -54.4453025109003, -71.8552366643217 -54.40366102673, -71.8428950512764 -54.4022913544026, -71.6594652416479 -54.3985477333876, -71.363253462489 -54.395489638431, -68.7039077140285 -54.6036470937453, -68.6335255265933 -54.6097356796226, -67.1431321628296 -54.9482088935939, -66.9208939657761 -55.0048318636344, -66.8062319405164 -55.0387040413362, -66.425376655108 -55.1879574998159, -66.4132799945745 -55.2171113654813, -66.4136460445882 -55.2179371434271, -66.7818249209114 -55.8181108088629, -66.7853445577777 -55.8206795009099, -66.7898935601673 -55.823560913557, -67.0075018312103 -55.9320908483087, -67.0087507221126 -55.9327109111278, -67.0093840734839 -55.9328851603646, -67.0178441644852 -55.934547097819, -67.2182455196082 -55.9682006944998, -67.271948994315 -55.9770507851472, -67.2908367408053 -55.9779049739749))"
CABRERO,"POLYGON ((-72.3867887831575 -37.2196336567179, -72.3972511880548 -37.2192254985042, -72.4051035020704 -37.2187604002573, -72.4064124601833 -37.2186723418118, -72.4069945657467 -37.2186272924973, -72.4367074158177 -37.2127298506569, -72.5130750762302 -37.1334870036341, -72.5315216335059 -37.096480936326, -72.5282346677477 -37.0317493899365, -72.5185733032577 -36.9229523264691, -72.5119744340764 -36.9016175493991, -72.5096102835182 -36.8969256318516, -72.5072161439255 -36.89470872827, -72.5051139573067 -36.8930397794653, -72.5020517988937 -36.892432813435, -72.4997937569637 -36.8923858848903, -72.3833079174962 -36.9086328284612, -72.1961503213568 -37.026819450009, -72.1941962179921 -37.0284814745965, -72.1932632333813 -37.0297824937804, -72.1840924120034 -37.046052576287, -72.1836063958663 -37.0470325523452, -72.1854346011822 -37.0508854964095, -72.2724289822012 -37.1975889050519, -72.2743251186509 -37.200151905982, -72.2760842082658 -37.2015098799157, -72.2778522902422 -37.2026347544927, -72.2799863441829 -37.2036147619274, -72.2818264478438 -37.2041606695392, -72.3363947685588 -37.2124536456199, -72.3867887831575 -37.2196336567179))"
CALAMA,"POLYGON ((-68.7688561074606 -23.1452307301201, -68.8297958728041 -23.1166127136787, -68.8418121942745 -23.1043514459008, -68.8461103063119 -23.099953364688, -69.1875320861498 -22.6145171077728, -69.189632081292 -22.6103010235033, -69.1912801761606 -22.6069089884104, -69.190971901159 -22.5920798114734, -69.1908869193931 -22.5902167436322, -69.1730586560189 -22.2268688148827, -68.938223445848 -21.4341625541463, -68.860598938443 -21.2841314068732, -68.5374187695839 -21.0645789246649, -67.9648851475057 -22.0523017453342, -67.9473479319258 -22.0871063853807, -67.9421308920372 -22.1003856055822, -67.9402718453147 -22.1052647177752, -67.9396238629928 -22.1071607013266, -67.9146930323687 -22.2723870325, -67.9313909124524 -22.3726760681119, -67.93177092792 -22.3733151428758, -67.9323849256748 -22.374134071804, -67.9333170580494 -22.3752931093454, -68.5392260049396 -23.081060619337, -68.541833076614 -23.0833366338927, -68.5441941640885 -23.0847486720739, -68.7672940459863 -23.145227803077, -68.7688561074606 -23.1452307301201))"
CALBUCO,"POLYGON ((-73.138754913678 -41.9124139393331, -73.142943023391 -41.9121378667903, -73.147007214659 -41.9118588197677, -73.1554444959677 -41.9091546833034, -73.4803898110344 -41.8000357821469, -73.5079804985599 -41.7884000590221, -73.5318149605243 -41.7774397580945, -73.5334059667867 -41.7766197280463, -73.5395320265868 -41.7724645953682, -73.2379500970654 -41.5892740727847, -73.2102784583861 -41.5745607872026, -73.2050942235802 -41.5730679207965, -73.1968908763305 -41.5710720507883, -73.1601044291675 -41.5710638300126, -72.9022523360145 -41.6759817075155, -72.9003653133618 -41.6774967645009, -72.8877633994803 -41.692072842137, -72.886101459417 -41.6941937958299, -72.8855604132117 -41.695733807426, -72.8790708536325 -41.9073682494941, -72.8796329116444 -41.9094412341205, -72.8806109359625 -41.9095572547897, -73.138754913678 -41.9124139393331))"
CALDERA,"POLYGON ((-70.8659468982621 -27.831541103627, -70.8823084012274 -27.8312519554499, -70.8839245361818 -27.8310268485713, -70.8904316375525 -27.8278308306453, -70.8949587572482 -27.8249317226277, -70.8991219292611 -27.8220376610673, -70.9156302397973 -27.807151323797, -70.9224383616744 -27.8005042384414, -70.9258763041347 -27.793364174881, -70.9618819109552 -27.6987641655394, -70.9632628957861 -27.6945561159918, -70.9709715792703 -27.6596688509245, -70.9782246993572 -27.2456246742844, -70.9722952711585 -27.1678243600187, -70.971841171782 -27.1666412909311, -70.7540087257183 -26.7016865782972, -70.7536936367719 -26.7010226041804, -70.724591703303 -26.6429956233236, -70.6829411957013 -26.643156205215, -70.4699032540511 -26.7442626434685, -70.4570869586801 -26.7503628133497, -70.4038514900038 -26.7811637426607, -70.2723206395861 -26.8922141079871, -70.2694586275342 -26.8948662174092, -70.2556383158339 -26.9078254897722, -70.2507223162929 -26.9156965882782, -70.2445034227421 -26.9392358240888, -70.2443115305105 -26.9416187725937, -70.7569437570705 -27.8172365538276, -70.7579357686483 -27.8185075825342, -70.7598998949919 -27.8196975157077, -70.7616980001262 -27.8206875689512, -70.7651940624388 -27.8214534625832, -70.8647308585281 -27.8314901166825, -70.8659468982621 -27.831541103627))"
CALERA,"POLYGON ((-71.1467084895666 -32.8644207012309, -71.1506525580026 -32.8632736780534, -71.1573607805124 -32.8608965324983, -71.229164746342 -32.7873854627433, -71.2228633501516 -32.778827626311, -71.1980541361405 -32.7640419970509, -71.1955810413783 -32.7632900837058, -71.1954850060462 -32.7632650659376, -71.1095515095117 -32.7478524644492, -71.107269349489 -32.7482314966903, -71.0870246898938 -32.7517468377737, -71.0858258550562 -32.7571548497245, -71.0857199516101 -32.761808843971, -71.0867201691155 -32.7709247528153, -71.0876692723552 -32.773234742024, -71.1326444933348 -32.8458609689967, -71.1467084895666 -32.8644207012309))"
